doc_id,query
189,rūpniecība ko iznīcināja nacionālisti ticis noklusēts mītā par vareno rūpniecību padomju
190,suņa deguna neaizmuksi dienesta suns kādā skolā pieķer aizdomīgu skolnieku
191,savus bērnus neprotams pieradināt ēst dārzeņus tas ietekmē viņu imunitāti
192,mācībās jauna nianse notiek pastiprināta gatavošanās cīņai apdzīvotā vietā
193,rasists klauns un klēpja suns un debatē augstos toņos
194,iedzīvotāju šausmu vasara rāmā ciema pie jūras mieru satricina cūcīgu tūristu bari
195,par koalīciju domē parakstīts kuri politiskie spēki sadarbosies
196,bīstamība ir tajā ka aiz karojošajām pusēm stāv un
197,noslēgsies septembris prognoze trešdienai
198,tu nevari atslābt un peldēt pa straumi oktobrim
199,rītdienas vajadzēs pārkārtot dzīvi pilsētās dēļ nosaka ierobežojumus mainīsies to iedzīvotājiem
200,valsts mežus piesakās vairāk nekā pretendentu
201,otrs saslimšanas gadījums novada pašvaldības centrālajā administrācijā
202,prezidents viesojoties prezidenta pilī koķetē ar sievu
203,saslimšanas dēļ vidusskola uz laiku pāriet uz daļēji attālinātām mācībām
204,prezidents patīkami pārsteidz ielu muzikantu
205,uz dzimto zemi atvedusi noziedziniekus sevišķi smagu noziegumu skaits
206,rīcins vai tu drīkst stādīt dārzā
207,lenteni notiks medījuma gaļā podkāsta garām epizode
208,sāksies ar saulainu laiku ceturtdienai
209,dzīve uz pulvermucas kad jebkura dzirksts var izraisīt eksploziju
210,izplatības dēļ un rosina ieviest divu nedēļu ierobežojumus tas nozīmē
211,mīlulis devies uz citiem medību laukiem kur drīkst apglabāt mājdzīvnieku
212,tikai turīgajiem nākamā gada auto īpašniekiem jārēķinās ar jaunu nodokli
213,citiem latgaliešiem pasaki ka vajag viņu gāzt na j aizmirst izslēgt mikrofonu
214,sniedzot nepatiesu informāciju vairākiem slimnīcas speciālistiem ir noteikta karantīna
215,princis saņēmis kādu ļoti īpašu dāvanu valdība pieprasa to atdot
216,uzliesmojumu sporta skolā saistīti saslimšanas gadījumi
217,tiktoks gūgle un virtuālās spēles drīzas ardievas latviešu valodai
218,bez naudas brīdina par krāpnieku aktivizēšanos nekādā gadījumā nedrīkst atklāt
219,atbalsta paziņojuma projektu par neatzīšanu kā leģitīmu prezidentu
220,vai mehāniska naudas pārdale
221,vīrieši vitamīnu lieto retāk
222,un pikanti asie vistu spārniņi gaumē
223,dabas parks putni savvaļas zirgi un taur un unikālas dabas ainavas
224,zemnieks dalās pieredzē aicinot pievienoties kooperatīviem
225,atkal kņudina un sāp tautas metodes palīdz cīnīties ar aukstumpumpu
226,piedalīties konkursā mazais pārgājiens
227,diviem gadiem rindas uz bērnudārziem vairs nebūšot to plāno panākt
228,rekordskaits sasniegts līdz šim lielākais inficēto skaits
229,mediji starp profesionalitāti un tanti
230,izveide var palīdzēt kooperatīva pārvaldībā
231,konkurss avīzes rakstīja pirms gadiem gada septembrī
232,gadu ilgiem eksperimentiem bioloģiskās cūkkopības izaugsmes iespējas vērtē pozitīvi
233,ziloņu populāciju apdraud bakteriālas dabas infekcijas slimība
234,vēlēšanām atgriezīsies kontroversiālais
235,lidostas komanda pārsteidz ar dalību jestrā dejošanas izaicinājumā
236,atklāti pastāsta par savu pagātni arī par laiku kad bija draugos ar zaļo pūķi
237,vārds ietekmē tavu dzīvi šīs dienas gaviļnieces un
238,latvieši domā ka viss ir labāk reāli tas ir atklāj piim valdes priekšsēdētājs
239,logi vibrēja bailēs par sprādzienu varas iestādes skaidro kas notika
240,meitenes mācīsies zāģēt urbt un virpot savukārt zēniem būs jāapgūst tamborēšana adīšana un šūšana
241,dziļi kultūra līdz šim ir cietusi pandēmijas laikā podkāsta epizodē
242,paliksi ēnā tevi piemeklēs nāve ar izrādes ēnā režisoru
243,ar kundzi noliek ziedus pie pieminekļa
244,varas nāk leģendārais turku sultāns kurš iemantoja pavārdu
245,sporta bāze viesnīca un manēža čempionklubs paziņo par ambicioziem plāniem
246,vilcienos un automobilī atklāj kontrabandas cigarešu
247,nocebo un jeb kādēļ ar baidīšanas kampaņām tiek nodarīts vairāk slikta nekā laba
248,nav taisnīga pensiju indeksācija būs bet mazāka
249,debesis pārklājusi dūmaka skaidro kāpēc
250,gatavs atbildēt par savu rīcību oktobrim
251,apmainījušies dāvanām uzdāvināja velosipēdus
252,ražotāji aicina meklēt karotītes un izvēlēties vietējos produktus
253,mūra gabaliņš gada notikumi pie pulksteņa
254,ministrija uzskaita vairākus argumentus pret bisfenola tūlītēju aizliegšanu
255,kvalitātes zīme nav tipogrāfiska manipulācija
256,un par e auto piemaksā ar e auto braukā zaļi domājoši muļķīši vai biezie
257,vairs nav ideju ko pagatavot no sēnēm lieliskas sēņu ēdienu receptes
258,tagad jau kā grieķu mītiskā kļuvusi sešroce savienojot trīs amatus un krēslu drošības komisijā
259,dienas un stundas būs visbīstamākās oktobrī čika laiks
260,cer pacīnīties ar par čempionu titulu
261,mūsdienās kā tehnoloģijas pilnveido un papildina vecumdienas
262,patversmes vadītāja un tās apkārtnē samazinās bezsaimnieku suņu pūļi un mazāk nonāk patversmēs
263,kliedza ka notikusi avārija māja sagāzta ietriecas mājā šoferis mirst avārijas vietā
264,karalienes pēctece būs popmūzikas zvaigzne nē tas nav joks
265,lutinās silta būs pirmā oktobra diena
266,bērni tā arī nesaņēma ēna krīt uz ministrijas rīcību ar valsts naudu
267,palīdz tradicionālās rudzu rupjmaizes izvēlē
268,gribam lai publika ārdās gribam mētāt vidējo pirkstu un iet pret sistēmu
269,sūdzas par darbinieku trūkumu testēšanai tāpēc par rindu veidošanos jābūt saprotošiem
270,neļauj reģistrēt bērna vārdu vārdu viņa vēlējās dot meitai
271,ir pārliecinats ka aiz viņa indēšanas stāv
272,un kā jums izdodas noturēt koru mēģinājumus šajā ierobežojumu laikā
273,samazināta vienas maksas autostāvvietu zonas teritorija
274,koka galotnē iemūžināts neparasts skats
275,tu aizvērsies prezidenta kandidātu debates izvēršas haotiskos strīdos
276,attēlā redzamo rīdzinieku aicina netuvoties šim vīrietim
277,vilnis neesot vēl izjutis pandēmijas ietekmi
278,par ko zinātnieki jums nestāsta viņiem par to nejautā
279,rekordskaits mediķi izolācijā sportisti karantīnā ar infekcijas perēkļiem cīnīšoties citādāk nekā pavasarī
280,populāri mīti par acu ādas kopšanu netici tiem
281,eparakstu pāri virtuālajām robežām
282,e parakstīšana efektīvākam biznesam
283,sapratīs ka sapīties ar ir bijusi kļūda nobalso par
284,izkratīts avīzes rakstīja pirms gadiem gada oktobrī
285,novada pašvaldība atklāj kurā uzņēmumā noticis uzliesmojums
286,ar nenoliegs vēsturi uzsver ka varot uzticēties
287,cilvēkos nevis kādā noasfaltētā laukumā aicina
288,brīnums iztēlojoties par izstādi zirgs ne tīģeris
289,attieksme pret paliek bez izmaiņām tas nozīmē
290,būvniecības līgums par ūdensvada un kanalizācijas tīklu paplašināšanu
291,uzdevums tagad ir palikt bezbailīgam sūdzēs tiesā preses sekretāru
292,saslimušo skaits un turpina pieaugt informācija par situāciju kaimiņvalstīs
293,gadiem beidzot pie stūres nav jaunā vara sāks ar veco darbinieku atlašanu
294,ciet teātri taisīsiet sarkano lukturu māju ar teātra aktieri
295,demokratizācija katram ļauj kļūt digituvam
296,noliedz baumas ka valdībai ir plāns no noteikta datuma visu slēgt
297,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
298,dēļ ieviesīs jaunu personu uzraudzības sistēmu kā tā darbosies
299,dārzā ieradies tīģeru pāris
300,galvenie iemesli kāpēc telpaugi nīkuļo
301,slimnīcas glābējsilītē atstāts puisītis
302,var ņirgāties ūdens nav jau divus mēnešus bet rēķins par to atsūtīts tik un tā
303,ir ļoti svarīgi ka man pasaka ka es esmu skaista
304,reģistrēti jauni gadījumi
305,ar laimīgām beigām sirmgalve pēc vairāku stundu pavadīšanas mežā atrodas sveika un vesela
306,un kamermūzikas festivāls
307,sarunāties uz ceļa kā informēt citus autovadītājus par saviem nodomiem
308,varēja pārdot tikai ar ofšoriem uzņēmuma skarbā pieredze un cīņa
309,vectētiņš asi nokritizējis viņai bija dots viss bet viņa pat negribēja atbalstīt savu vīru
310,prognoze oktobrim ko šis laiks sola
311,un viņa sievai apstiprināta saslimšana ar
312,apvienošana pilnībā netika panākta ne gadā un nav sasniegta arī tagad tā par atkalapvienošanu
313,ļitvini ļitvaki nav viens un tas pats ielūkojoties
314,mēru ievēlēts
315,atklāti jauni gadījumi cik pacienti līdz šim kopumā miruši
316,atklāj piedāvāja kļūt par eskortu ļoti lielu naudu
317,šodien kaut kas notiek ne tā kā tu vēlies nemeklē vainīgos oktobrim
318,šobrīd gaisā esošie putekļi bīstami cilvēkiem ar elpceļu slimībām
319,inovatīvi veidi kā var palīdzēt jūsu uzņēmumam
320,piemeklējusi ģimeni ir salauzts izlauzts mētājas uz ceļa
321,ceturtdien atklāto gadījumu reģistrēti trīs pilsētās
322,sestdienas mainīsies pašizolacijas prasības atgriežoties no ārzemēm
323,notiks pirmā jaunās varas sēde tagad noteiks toni galvaspilsētā
324,ir satraucoši atklājuši saikni starp un neandertāliešu gēniem
325,pļavas šobrīd ir izzūdošas dabas vērtības tās var atjaunot
326,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
327,darbu ar velosipēdu sagatavojies rudens braucieniem
328,dienas ir pagājušas izslimojušais virusologs brīdina ka mēs ieejam pandēmijas laikmetā
329,ziņas kādi simptomi ir
330,pirmajam sniegam vai būs par laiku oktobrī
331,iv ieradās tikai uz dažām dienām
332,padomju rubļi plus no konfiscēto preču vērtības tāda bija pirmo muitnieku darba samaksa pirms gadiem
333,atrada rāpojam pa ceļu kamēr vecāki grāvī postošie varoņdarbi
334,eņģeļu stundas no līdz oktobrim kādas vēlmes piepildīsies
335,regulas pienesumu cīņā ar nelikumīgu mežu izciršanu
336,sērgas upuri avīzes rakstīja pirms gadiem gada oktobrī
337,materiāls ar ko strādāt no malas zinām par
338,cūku mēris šonedēļ konstatēts divām mežacūkām divos dažādos novados
339,īsti nevar izskaidrot kāpēc pabalsti ir tādi kādi ir par nesakārtoto sistēmu
340,efektu apkarošanā dotu valsts robežu slēgšana uzskata mērs
341,mazuli uz darbu sašūpo sociālos tīklus
342,labo darbu nedēļa lietas ko tu vari paveikt
343,aizgāja nedebitējis handbola izlasei būs jauns treneris
344,tā rotājas tikai trakie īstās kažokādas vairs nevalkās
345,nedod ja noliks karoti nevaru nedomāt par jēdzienu karma
346,stājās amatā viņš solīja apmeklēt visas valstis bija pienākusi kārta
347,atklāti jauni gadījumi
348,darījumus apdrošina vairāk izraisītās krīzes laikā atviegloja to saņemšanas noteikumus
349,cietumsods un vairāk nekā miljons kompensācijā kādu sodu saņēmis namu bijušais vadītājs
350,nedēļu gaidīja kad kāds sadzirdēs palīgā saucienus nelaimē nokļuvusi kāda sirmgalve
351,tītars par teātra izrādi
352,esam bagāta tauta kaut gan nemitīgi ir jādzird ka esam nabadzīga valsts
353,piesārņojums tādu iespējams īstenot ja iepakojumu nav iespējams sašķirot un pārstrādāt
354,pēc saslimšanas ar nogādāts slimnīcā
355,vārds ietekmē tavu dzīvi šīs dienas gaviļnieces un
356,metalurga vietā ražotne
357,gatavoties prognoze sestdienai
358,ievēro mērenību un domā par veselību no līdz oktobris
359,ezera laivu bāzē samulsina balto gārni
360,iedzīvotājus jau šajās brīvdienās iegādāties vai šūt sev aizsargmaskas tās iespējams noderēs
361,nodoklis auto reģistrācijas nodeva var sasniegt pat eiro
362,grūtajiem pusaudžiem raugāmies nevis kā uz bērniem kam vajag palīdzību bet kā uz likumpārkāpējiem viņiem palīdzēt
363,ka var sasniegt jauni putekļu un dūmu mākoņi gadījumos jāierobežo pastaigas ārā
364,spēki uzsākuši jaunu plaša mēroga uzbrukumu
365,panākt lai restorāni stāvētu rindā pēc mājražotāja vai mazas zemnieku saimniecības produkta
366,ņemu savu brošu piespraužu to uzsienu lakatiņu un saku izaiciniet mani
367,avārija pie notikuma vietā gājis bojā motocikla vadītājs
368,pārmaiņas būtiski mainīja cilvēku likteņus daudzi austrumvācieši jūtas kā zaudētāji
369,apkārtējiem iemeslu baumot oktobrim
370,saslimstības ar kumulatīvais rādītājs sasniedzis rekordu
371,uz ceļa nāvējoši notriec gājēju un pamet uz ceļa
372,mērķtiecīgi cenšas pagriezt vēsturi latviešiem nevēlamā virzienā
373,kur šobrīd visvairāk jaunu gadījumu
374,prezidenta dzīvības rādītāji ļoti satraucoši nākamās stundas būs ļoti svarīgas
375,nozaga piena šokolādes piespriež reālu cietumsodu
376,bija neierasti satraukts laikā zem koka atrod mirušu cilvēku
377,bez panikas vairāk momentu lai varam gūt vārtus
378,paliek diskusija par pašu galveno problēmas cēloni iedzīvotāju skaita pieaugumu
379,tev būs lieli sapņi un idejas taču ne visi tie būs realizējami no līdz oktobrim
380,regulēt gadsimta zeltu jāuztraucas par kriptovalūtu
381,variācijas un par jubilejai veltītajiem koncertiem un
382,tukšus salmus lipīga bet ārstējama kaite ar filoloģijas doktoru
383,un ziedu spēles dabas parkā jau trešo gadu
384,saslimstības ar kumulatīvais rādītājs pieaudzis līdz
385,cilvēces vēsturē nav bijušas tik augstas likmes
386,bija ļoti norūpējušies informācija par veselības stāvokli
387,ģimenes biogrāfs prinču un konflikts ir bīstams viņu strīds ir daudz šausmīgāks nekā kāds var iedomāties
388,mīluļu saimnieki turpmāk varēs ātrāk un efektīvāk sazināties ar veterinārārstiem visā
389,izaicinājis piedāvāja tikai štukas ka tev piedāvāja kamēr neparādīsi skrīnšotus
390,pandēmija izraisīja krīzi ekonomikā kura skāra praktiski visas tautsaimniecības nozares
391,inficējies basketbolists
392,vizītes delegācijas pārstāvjiem konstatēts
393,iegāde internetā pārdevējs var pārbaudīt vai pircējs nav nepilngadīgs
394,temperatūra dažviet sasniegs grādus svētdienai
395,tev parādīsies reāla iespēja kaut ko mainīt oktobrim
396,nosauc galvenos iemeslus kāpēc bērni avārijās var gūt smagas traumas
397,pagasta mežos atrastas vairākas īpaši aizsargājamas kukaiņu sugas
398,klimata pārmaiņām kas ietekmēs lepnuma priedes augtspēju
399,eksperti bērnam gājējam iemācīt cik svarīga ir ievērošana
400,vārds ietekmē tavu dzīvi šīs dienas gaviļnieki un
401,ielās izgājuši vairāk nekā cilvēku milicija izmanto ūdensmetējus
402,kurās pilsētās šobrīd ir visvairāk ar saslimušo
403,valstī ir gandrīz mūzikas un mākslas skolas ko īpaša ir skola
404,atklāj cik pasūtījuma slepkavības notikušas
405,tik silts septembris vispār kādreiz ir bijis par rekordiem
406,ir slēptā izplatība un ko jaunu zinām par vīrusu
